name,price,mileage,mpg,ext_color,int_color,transmission,rwd,condition,year,engine_size,engine_info
  California T,157995,13432,19.5,Bianco Avus Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Used,2017,3.9,8-Cylinder Turbo Gas Engine
  Portofino,237474,1228,19.0,Argento Nurburgring Metallic Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Used,2020,3.9,8-Cylinder Turbo Gas Engine
  488 Spider,319990,2788,18.5,Bianco Avus Exterior,Cuoio Leather Seats,7-Speed Automatic Transmission,yes,Certified,2019,3.9,8-Cylinder Turbo Gas Engine
  F12 Berlinetta,259800,20298,14.0,Bianco Avus Exterior,Black Leather Seats,7-Speed Automatic Transmission,yes,Used,2015,6.3,12-Cylinder Gas Engine
  812 Superfast,395900,821,14.0,Rosso Fiorano Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Used,2019,6.5,12-Cylinder Gas Engine
  812 Superfast,377999,9147,14.0,Bianco Avus Exterior,Beige Tradizione Leather Seats,7-Speed Automatic Transmission,yes,Used,2020,6.5,12-Cylinder Gas Engine
  360 Challenge Stradale,349800,9432,12.5,Red/Black Alcantara Seats Exterior,Rosso Corsa Leather Seats,6-Speed Automatic Transmission,yes,Used,2004,3.6,8-Cylinder Gas Engine
  California,110000,24372,16.5,Black Exterior,Black Leather Seats,7-Speed Automatic Transmission,yes,Used,2014,4.3,8-Cylinder Gas Engine
  488 Spider,274900,7463,18.5,Rosso Corsa Exterior,Black Leather Seats,7-Speed Automatic Transmission,yes,Used,2016,3.9,8-Cylinder Turbo Gas Engine
  488 Spider,309900,12007,18.5,Bianco Avus Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Certified,2018,3.9,8-Cylinder Turbo Gas Engine
  California,139900,14897,16.5,Bianco Avus Exterior,Cuoio Leather Seats,7-Speed Automatic Transmission,yes,Certified,2014,4.3,8-Cylinder Gas Engine
  California T,147995,17718,19.5,Red Exterior,Black Leather Seats,7-Speed Automatic Transmission,yes,Used,2017,3.9,8-Cylinder Turbo Gas Engine
  458 Italia Coupe,199999,18096,15.0,Yellow Exterior,Black Leather Seats,7-Speed Automatic Transmission,yes,Used,2012,4.5,8-Cylinder Gas Engine
  812 GTS,629900,2241,13.5,Gray Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Certified,2021,6.5,12-Cylinder Gas Engine
  488 GTB,264000,13124,18.5,Bianco Avus Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Used,2017,3.9,8-Cylinder Turbo Gas Engine
  488 Spider,299999,1396,18.5,Bianco Avus Exterior,Black W/ Red Stitching Leather Seats,7-Speed Automatic Transmission,yes,Used,2016,3.9,8-Cylinder Turbo Gas Engine
  Portofino,235488,4897,19.0,Rosso Scuderia Exterior,Beige Tradizione Leather Seats,7-Speed Automatic Transmission,yes,Used,2020,3.9,8-Cylinder Turbo Gas Engine
  Roma,262900,1672,19.5,Grigio Alloy Metallic Exterior,Nero Leather Seats,8-Speed Automatic Transmission,yes,Certified,2022,3.9,8-Cylinder Turbo Gas Engine
  812 GTS,599900,5500,13.5,Mat Silver Exterior,Black Leather Seats,7-Speed Automatic Transmission,yes,Used,2021,6.5,12-Cylinder Gas Engine
  488 GTB,204900,10163,18.5,Red Exterior,Black Leather Seats,7-Speed Automatic Transmission,yes,Used,2017,3.9,8-Cylinder Turbo Gas Engine
  California T,135888,14387,19.5,Nero Daytona Metallic Exterior,Rosso Ferrari Leather Seats,7-Speed Automatic Transmission,yes,Used,2015,3.9,8-Cylinder Turbo Gas Engine
  458 Italia Coupe,269000,15230,15.0,Grigio Titanio Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Used,2015,4.5,8-Cylinder Gas Engine
  Roma,244488,4772,19.5,Bianco Cervino Exterior,Rosso Ferrari Leather Seats,8-Speed Automatic Transmission,yes,Certified,2021,3.9,8-Cylinder Turbo Gas Engine
  Roma,217857,7068,19.5,Grigio Alloy Metallic Exterior,Blu Medio Leather Seats,8-Speed Automatic Transmission,yes,Used,2021,3.9,8-Cylinder Turbo Gas Engine
  488 Spider,294900,7014,18.5,Bianco Italia Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Used,2018,3.9,8-Cylinder Turbo Gas Engine
