name,price,mileage,engine,mpg,ext_color,int_color,transmission,rwd,condition,year
Used 2017 Ferrari California T,"157,995","13,432",3.9L 8-Cylinder Turbo Gas Engine,16 City / 23 Highway ,Bianco Avus Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Used,2017
Used 2020 Ferrari Portofino,"237,474","1,228",3.9L 8-Cylinder Turbo Gas Engine,16 City / 22 Highway ,Argento Nurburgring Metallic Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Used,2020
Certified 2019 Ferrari 488 Spider,"319,990","2,788",3.9L 8-Cylinder Turbo Gas Engine,15 City / 22 Highway ,Bianco Avus Exterior,Cuoio Leather Seats,7-Speed Automatic Transmission,yes,Certified,2019
Used 2015 Ferrari F12 Berlinetta,"259,800","20,298",6.3L 12-Cylinder Gas Engine,12 City / 16 Highway ,Bianco Avus Exterior,Black Leather Seats,7-Speed Automatic Transmission,yes,Used,2015
Used 2019 Ferrari 812 Superfast,"395,900",821,6.5L 12-Cylinder Gas Engine,12 City / 16 Highway ,Rosso Fiorano Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Used,2019
Used 2020 Ferrari 812 Superfast,"377,999","9,147",6.5L 12-Cylinder Gas Engine,12 City / 16 Highway ,Bianco Avus Exterior,Beige Tradizione Leather Seats,7-Speed Automatic Transmission,yes,Used,2020
Used 2022 Ferrari Roma,"279,000",269,3.9L 8-Cylinder Turbo Gas Engine,17 City / 22 Highway ,Blue Exterior,8-Speed Automatic Transmission,2 wheel drive - rear,yes,Used,2022
Used 2022 Ferrari SF90 Stradale,"627,000","1,041",Hybrid: Gas/Electric ,16 City / 20 Highway ,Est. 2.5hr Charging TimeSee Details,Bianco Avus Exterior,Rosso Ferrari Leather Seats,no,Used,2022
Used 2004 Ferrari 360 Challenge Stradale,"349,800","9,432",3.6L 8-Cylinder Gas Engine,10 City / 15 Highway ,Red/Black Alcantara Seats Exterior,Rosso Corsa Leather Seats,6-Speed Automatic Transmission,yes,Used,2004
Used 2014 Ferrari California,"110,000","24,372",4.3L 8-Cylinder Gas Engine,14 City / 19 Highway ,Black Exterior,Black Leather Seats,7-Speed Automatic Transmission,yes,Used,2014
Used 2016 Ferrari 488 Spider,"274,900","7,463",3.9L 8-Cylinder Turbo Gas Engine,15 City / 22 Highway ,Rosso Corsa Exterior,Black Leather Seats,7-Speed Automatic Transmission,yes,Used,2016
Certified 2018 Ferrari 488 Spider,"309,900","12,007",3.9L 8-Cylinder Turbo Gas Engine,15 City / 22 Highway ,Bianco Avus Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Certified,2018
Certified 2014 Ferrari California,"139,900","14,897",4.3L 8-Cylinder Gas Engine,14 City / 19 Highway ,Bianco Avus Exterior,Cuoio Leather Seats,7-Speed Automatic Transmission,yes,Certified,2014
